日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2021-12-28,阪神,未勝利*,未勝利,14,アルティヒ,バゴ,2,亀田温心,1800,良,1600.0,8.2,13.8,0.0,芝,中距離,,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-26,中山,キャンド･2勝,自己条件,9,オシリスブレイン,バゴ,4,横山和生,1200,良,1200.0,1.9,2.5,190.0,芝,短距離,,,右回り,4歳,178.6,178.6,178.6,179.55,179.55,179.55,180.5,180.5,180.5,5800.0,10358.8,10358.8,10358.8,10413.9,10413.9,10413.9,10469.0,10469.0,10469.0
2021-12-26,中山,有馬記念G1,重賞,7,クロノジェネシス,バゴ,5,ルメール,2500,良,2400.0,1.2,1.8,130.0,芝,長距離,,距離延長,右回り,5歳以上,122.2,122.2,122.2,122.85,122.85,122.85,123.5,123.5,123.5,9200.0,11242.4,11242.4,11242.4,11302.2,11302.2,11302.2,11362.0,11362.0,11362.0
2021-12-26,中山,有馬記念G1,重賞,9,ステラヴェローチェ,バゴ,3,Ｍ．デム,2500,良,3000.0,1.6,2.8,0.0,芝,長距離,,距離短縮,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-18,中山,新馬・牝,新馬,5,エグゼクティブラン,バゴ,2,横山武史,1800,重,,2.1,4.4,0.0,ダート,中距離,ダ道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-18,中京,未勝利*,未勝利,7,セイウンハルカニ,バゴ,2,武豊,1400,重,1600.0,1.3,1.7,150.0,ダート,短距離,ダ道悪,距離短縮,左回り,2歳,141.0,141.0,141.0,141.75,141.75,141.75,142.5,142.5,142.5,8500.0,11985.0,11985.0,11985.0,12048.75,12048.75,12048.75,12112.5,12112.5,12112.5
2021-12-12,中山,１勝ｸﾗｽ,自己条件,8,ヒナノコバン,バゴ,4,永野猛蔵,1800,良,1700.0,51.4,94.7,0.0,芝,中距離,,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-12,中山,未勝利*,未勝利,12,ヴァンシャンテ,バゴ,2,永野猛蔵,2000,良,2000.0,3.9,6.6,0.0,芝,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-12,中山,未勝利*,未勝利,10,ペイシャワキア,バゴ,2,武士沢友,1200,稍,1400.0,11.6,60.0,0.0,ダート,短距離,ダ道悪,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-11,中山,新馬,新馬,8,パトリックハンサム,バゴ,2,内田博幸,1800,良,,1.4,2.3,180.0,芝,中距離,,,右回り,2歳,169.2,169.2,169.2,170.1,170.1,170.1,171.0,171.0,171.0,7900.0,13366.8,13366.8,13366.8,13437.9,13437.9,13437.9,13509.0,13509.0,13509.0
