日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2025-12-21,中京,１勝ｸﾗｽ,自己条件,7,ビアフォーナウ,バトルプラン,4,亀田温心,1200,稍,1400.0,2.8,4.5,0.0,ダート,短距離,ダ道悪,距離短縮,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-21,阪神,２勝ｸﾗｽ,自己条件,8,オセアバトルプラン,バトルプラン,5,古川吉洋,1800,重,1800.0,24.0,38.4,3180.0,ダート,中距離,ダ道悪,,右回り,5歳以上,5247.0,5406.0,5565.0,5247.0,5406.0,5565.0,5247.0,5406.0,5565.0,400.0,20988.0,21624.0,22260.0,20988.0,21624.0,22260.0,20988.0,21624.0,22260.0
2025-12-20,中京,ヤングジ･2勝,自己条件,14,アイファーバトル,バトルプラン,4,古川奈穂,1400,稍,1600.0,3.8,6.2,0.0,ダート,短距離,ダ道悪,距離短縮,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-20,中京,１勝ｸﾗｽ,自己条件,6,アイファーファイト,バトルプラン,6,河原田菜,1900,稍,1800.0,84.5,128.0,0.0,ダート,中距離,ダ道悪,距離延長,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-13,中山,２勝ｸﾗｽ,自己条件,4,オセアバトルプラン,バトルプラン,5,佐々木大,1800,良,1800.0,28.4,48.0,0.0,ダート,中距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-07,中京,１勝ｸﾗｽ・牝,自己条件,9,ビアフォーナウ,バトルプラン,4,原優介,1400,良,1200.0,9.1,20.8,0.0,ダート,短距離,,距離延長,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-06,中京,１勝ｸﾗｽ・若,自己条件,10,アイファーファイト,バトルプラン,6,河原田菜,1800,良,1400.0,39.6,71.4,0.0,ダート,中距離,,距離延長,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-06,中京,１勝ｸﾗｽ,自己条件,4,ブリングライト,バトルプラン,5,菊沢一樹,1200,良,1150.0,1.2,1.6,130.0,ダート,短距離,,距離延長,左回り,5歳以上,122.2,122.2,122.2,122.85,122.85,122.85,123.5,123.5,123.5,9000.0,10998.0,10998.0,10998.0,11056.5,11056.5,11056.5,11115.0,11115.0,11115.0
2025-11-23,東京,霜月Ｓ,OP,12,マルモリスペシャル,バトルプラン,6,泉谷楓真,1400,良,1400.0,24.8,50.7,0.0,ダート,短距離,,,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-15,東京,三浦特別･2勝,自己条件,11,アイファーバトル,バトルプラン,4,プーシャ,1600,良,1600.0,12.3,35.5,0.0,ダート,短距離,,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
