日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2022-12-28,阪神,新馬,新馬,12,エイシンフェンサー,ファインニードル,2,団野大成,1600,良,,1.9,2.4,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-28,阪神,新馬,新馬,13,サンスレッド,ファインニードル,2,永島まな,1600,良,,16.1,22.9,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-28,阪神,未勝利*,未勝利,16,シャープソーン,ファインニードル,2,和田竜二,1200,良,1200.0,16.7,30.0,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-24,中山,未勝利*,未勝利,15,イーデンテソーロ,ファインニードル,2,木幡巧也,1200,稍,1200.0,9.9,19.0,0.0,ダート,短距離,ダ道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-24,中山,未勝利*,未勝利,10,キタノニードル,ファインニードル,2,丸田恭介,1200,稍,1200.0,47.1,91.8,0.0,ダート,短距離,ダ道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-24,阪神,万両賞･1勝*,自己条件,7,ダンシングニードル,ファインニードル,2,団野大成,1400,良,1200.0,1.9,6.2,0.0,芝,短距離,,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-24,阪神,新馬,新馬,5,バスティア,ファインニードル,2,松若風馬,1400,稍,,18.1,29.5,0.0,ダート,短距離,ダ道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-18,中山,新馬,新馬,6,ブリットラン,ファインニードル,2,木幡巧也,1200,稍,,1.5,2.0,0.0,ダート,短距離,ダ道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-18,中山,未勝利・牝*,未勝利,8,カームマインド,ファインニードル,2,菅原隆一,1200,稍,1400.0,60.9,237.8,0.0,ダート,短距離,ダ道悪,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-18,阪神,フューチG1,重賞,10,ウメムスビ,ファインニードル,2,角田大河,1600,良,1200.0,12.5,21.6,0.0,芝,短距離,,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-18,阪神,未勝利*,未勝利,13,レイズミーアップ,ファインニードル,2,川島信二,1200,良,1000.0,14.1,37.5,0.0,ダート,短距離,,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-17,中京,中京２歳,OP,2,トレンディスター,ファインニードル,2,菱田裕二,1200,良,1400.0,1.9,4.0,190.0,芝,短距離,,距離短縮,左回り,2歳,178.6,178.6,178.6,179.55,179.55,179.55,180.5,180.5,180.5,3200.0,5715.2,5715.2,5715.2,5745.6,5745.6,5745.6,5776.0,5776.0,5776.0
2022-12-17,中京,未勝利*,未勝利,8,ピースフルナイト,ファインニードル,2,川須栄彦,1600,良,1400.0,5.3,8.7,0.0,芝,短距離,,距離延長,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-17,中京,未勝利*,未勝利,3,ジークシュベルト,ファインニードル,2,菱田裕二,1600,良,1200.0,13.1,21.9,0.0,芝,短距離,,距離延長,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-11,中山,未勝利*,未勝利,16,ジェイケイファイン,ファインニードル,2,内田博幸,1200,良,1400.0,1.8,2.6,200.0,ダート,短距離,,距離短縮,右回り,2歳,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,3400.0,6800.0,6800.0,6800.0,6800.0,6800.0,6800.0,6800.0,6800.0,6800.0
2022-12-11,中山,未勝利*,未勝利,1,イーデンテソーロ,ファインニードル,2,ドイル,1200,良,1600.0,4.4,6.6,0.0,ダート,短距離,,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-11,中京,未勝利・牝*,未勝利,10,ニードレストゥセイ,ファインニードル,2,角田大河,1400,良,1200.0,2.5,3.8,0.0,芝,短距離,,距離延長,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-11,阪神,未勝利*,未勝利,11,イツモハラペコ,ファインニードル,2,吉田隼人,1400,良,1200.0,4.1,10.5,0.0,ダート,短距離,,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-10,中山,未勝利*,未勝利,11,ヒュームテソーロ,ファインニードル,2,大野拓弥,1800,稍,1200.0,41.1,63.0,0.0,ダート,中距離,ダ道悪,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-04,阪神,さざんか･1勝,自己条件,4,ダンシングニードル,ファインニードル,2,団野大成,1200,良,1200.0,1.1,1.6,120.0,芝,短距離,,,右回り,2歳,112.8,112.8,112.8,113.4,113.4,113.4,114.0,114.0,114.0,5500.0,6204.0,6204.0,6204.0,6237.0,6237.0,6237.0,6270.0,6270.0,6270.0
2022-12-04,阪神,さざんか･1勝,自己条件,8,オーケン,ファインニードル,2,小谷周平,1200,良,1230.0,21.7,42.2,0.0,芝,短距離,,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
