日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2021-12-28,中山,ベストウ･2勝,自己条件,10,モリノカワセミ,ヘニーヒューズ,5,江田照男,1200,良,1400.0,2.9,4.7,320.0,ダート,短距離,,距離短縮,右回り,5歳以上,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,3500.0,11200.0,11200.0,11200.0,11200.0,11200.0,11200.0,11200.0,11200.0,11200.0
2021-12-28,中山,ベストウ･2勝,自己条件,2,アイアムイチオシ,ヘニーヒューズ,4,嘉藤貴行,1200,良,1200.0,2.9,4.8,0.0,ダート,短距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-28,中山,ベストウ･2勝,自己条件,1,バクシン,ヘニーヒューズ,3,横山武史,1200,良,1400.0,1.4,2.0,0.0,ダート,短距離,,距離短縮,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-28,中山,１勝ｸﾗｽ,自己条件,8,サッビアマーゴ,ヘニーヒューズ,3,石川裕紀,1200,良,1400.0,4.7,6.9,0.0,ダート,短距離,,距離短縮,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-28,阪神,ファイＨ･3勝,自己条件,16,カワキタアジン,ヘニーヒューズ,4,泉谷楓真,1200,良,1200.0,1.7,2.2,0.0,芝,短距離,,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-28,阪神,１勝ｸﾗｽ,自己条件,7,ドンカポノ,ヘニーヒューズ,3,藤岡康太,1400,良,1400.0,2.0,3.7,240.0,ダート,短距離,,,右回り,3歳,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,5100.0,12240.0,12240.0,12240.0,12240.0,12240.0,12240.0,12240.0,12240.0,12240.0
2021-12-26,中山,フェアウ･3勝,自己条件,13,ムスコローソ,ヘニーヒューズ,6,嶋田純次,1200,良,1200.0,33.5,52.8,0.0,ダート,短距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-26,中山,新馬,新馬,14,リネンファイト,ヘニーヒューズ,2,山田敬士,1200,良,,5.1,7.8,740.0,ダート,短距離,,,右回り,2歳,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,2000.0,14800.0,14800.0,14800.0,14800.0,14800.0,14800.0,14800.0,14800.0,14800.0
2021-12-26,阪神,りんくうＨ,OP,9,サダムスキャット,ヘニーヒューズ,4,川須栄彦,1200,良,1200.0,1.4,1.9,170.0,ダート,短距離,,,右回り,4歳,159.8,159.8,159.8,160.65,160.65,160.65,161.5,161.5,161.5,7300.0,11665.4,11665.4,11665.4,11727.45,11727.45,11727.45,11789.5,11789.5,11789.5
2021-12-26,阪神,りんくうＨ,OP,12,ガンケン,ヘニーヒューズ,5,川又賢治,1200,良,1200.0,3.2,4.8,0.0,ダート,短距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
