日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2023-12-23,中山,１勝ｸﾗｽ*,自己条件,4,エンパス,ベストウォーリア,2,石橋脩,1200,良,,26.9,45.7,0.0,ダート,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-17,中山,未勝利*,未勝利,12,マイネルウォーリア,ベストウォーリア,2,菅原明良,1200,良,,1.9,9.9,0.0,ダート,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-17,中山,未勝利*,未勝利,6,ヤマタケプレーダ,ベストウォーリア,2,丸田恭介,1200,良,,6.7,41.0,0.0,ダート,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-17,中山,未勝利・牝*,未勝利,11,ハーツケリー,ベストウォーリア,2,丹内祐次,1200,良,,5.3,18.6,0.0,ダート,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-10,中京,新馬,新馬,6,タイセイアレス,ベストウォーリア,2,ドイル,1400,良,,4.1,5.8,0.0,ダート,短距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-09,中京,未勝利*,未勝利,2,ヨドノルミナス,ベストウォーリア,2,幸英明,1800,良,,7.6,17.6,0.0,ダート,中距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-03,阪神,未勝利・牝*,未勝利,12,ヨドノルミナス,ベストウォーリア,2,河原田菜,1400,良,,6.0,9.5,0.0,ダート,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-26,京都,未勝利*,未勝利,3,エブリモーメント,ベストウォーリア,2,鮫島克駿,1200,良,,13.0,19.8,0.0,ダート,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-25,東京,カトレア,OP,9,ジョージテソーロ,ベストウォーリア,2,原優介,1600,良,,23.1,36.2,2740.0,ダート,短距離,,,左回り,2歳,4521.0,4658.0,4795.0,4521.0,4658.0,4795.0,4521.0,4658.0,4795.0,400.0,18084.0,18632.0,19180.0,18084.0,18632.0,19180.0,18084.0,18632.0,19180.0
2023-11-19,福島,未勝利*,未勝利,15,デビルシズカチャン,ベストウォーリア,2,永島まな,1150,重,,1.5,2.0,150.0,ダート,短距離,ダ道悪,,右回り,2歳,141.0,141.0,141.0,141.75,141.75,141.75,142.5,142.5,142.5,5900.0,8319.0,8319.0,8319.0,8363.25,8363.25,8363.25,8407.5,8407.5,8407.5
