日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2022-12-18,中山,未勝利*,未勝利,4,アグリモニー,ミュゼスルタン,2,江田照男,1800,稍,1200.0,66.6,105.1,0.0,ダート,中距離,ダ道悪,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-17,中山,未勝利*,未勝利,2,フィーバーヒュー,ミュゼスルタン,2,土田真翔,1200,良,1300.0,86.2,528.5,0.0,ダート,短距離,,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-17,中山,未勝利*,未勝利,14,ピスティス,ミュゼスルタン,2,江田照男,1200,良,1200.0,3.8,9.4,0.0,ダート,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-04,中山,未勝利*,未勝利,5,ピスティス,ミュゼスルタン,2,土田真翔,1200,良,1700.0,30.9,74.0,0.0,ダート,短距離,,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-03,中山,未勝利*,未勝利,4,アグリモニー,ミュゼスルタン,2,江田照男,1200,稍,1300.0,15.8,29.0,0.0,ダート,短距離,ダ道悪,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-06,東京,新馬,新馬,15,アグリモニー,ミュゼスルタン,2,江田照男,1300,良,,2.8,4.8,0.0,ダート,短距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-05,東京,未勝利*,未勝利,16,フィーバーヒュー,ミュゼスルタン,2,山田敬士,1300,良,1200.0,77.7,183.0,0.0,ダート,短距離,,距離延長,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-23,新潟,１勝ｸﾗｽ,自己条件,7,クルル,ミュゼスルタン,3,佐々木大,1800,稍,1700.0,5.8,8.5,0.0,ダート,中距離,ダ道悪,距離延長,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-15,新潟,未勝利*,未勝利,13,フィーバーヒュー,ミュゼスルタン,2,佐々木大,1200,良,1200.0,23.8,50.5,0.0,ダート,短距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-19,中山,未勝利*,未勝利,11,フィーバーヒュー,ミュゼスルタン,2,佐々木大,1200,不,1800.0,20.0,63.8,0.0,ダート,短距離,ダ道悪,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-03,札幌,未勝利*,未勝利,4,ピスティス,ミュゼスルタン,2,西塚洸二,1700,稍,1200.0,21.1,149.1,0.0,ダート,中距離,ダ道悪,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-14,札幌,１勝ｸﾗｽ,自己条件,13,クルル,ミュゼスルタン,3,西塚洸二,1700,稍,1700.0,3.3,5.4,0.0,ダート,中距離,ダ道悪,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-14,札幌,新馬,新馬,9,フィーバーヒュー,ミュゼスルタン,2,丸山元気,1800,稍,,29.6,47.5,0.0,芝,中距離,芝道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-14,札幌,未勝利*,未勝利,5,ピスティス,ミュゼスルタン,2,西塚洸二,1200,稍,1200.0,13.1,24.5,0.0,芝,短距離,芝道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-31,札幌,１勝ｸﾗｽ,自己条件,7,クルル,ミュゼスルタン,3,西塚洸二,1700,良,1700.0,4.4,7.2,0.0,ダート,中距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-24,札幌,未勝利*,未勝利,2,ピスティス,ミュゼスルタン,2,西塚洸二,1200,良,1200.0,17.7,31.0,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-09,福島,１勝ｸﾗｽ,自己条件,7,クルル,ミュゼスルタン,3,佐々木大,1700,稍,1600.0,7.0,29.1,700.0,ダート,中距離,ダ道悪,距離延長,右回り,3歳,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,1200.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0
2022-07-03,函館,未勝利*,未勝利,11,ピスティス,ミュゼスルタン,2,丸山元気,1200,稍,1200.0,5.0,8.8,0.0,芝,短距離,芝道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-26,東京,未勝利・牝,未勝利,1,ソンテ,ミュゼスルタン,3,柴田大知,1600,良,1600.0,53.6,102.8,0.0,ダート,短距離,,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-25,函館,新馬,新馬,8,ホーリーホック,ミュゼスルタン,2,丸山元気,1200,稍,,2.0,6.2,0.0,芝,短距離,芝道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-18,函館,新馬・牝,新馬,10,ピスティス,ミュゼスルタン,2,丸山元気,1200,良,,3.6,6.6,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-05,東京,１勝ｸﾗｽ,自己条件,10,クルル,ミュゼスルタン,3,西塚洸二,1600,良,1800.0,30.1,47.5,0.0,芝,短距離,,距離短縮,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-29,新潟,未勝利・牝,未勝利,1,ミウィ,ミュゼスルタン,3,佐々木大,1200,稍,1200.0,36.3,77.4,0.0,ダート,短距離,ダ道悪,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-07,新潟,わらび賞･1勝,自己条件,8,クルル,ミュゼスルタン,3,横山琉人,1800,良,1700.0,8.5,14.9,0.0,ダート,中距離,,距離延長,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
