日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2023-12-28,中山,未勝利*,未勝利,7,プラムダンディ,ラニ,2,田中勝春,1800,良,1800.0,2.4,4.0,0.0,芝,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-28,阪神,未勝利*,未勝利,9,ミグラテール,ラニ,2,岩田望来,1800,良,1800.0,5.0,9.3,0.0,ダート,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-24,阪神,新馬,新馬,12,ソニック,ラニ,2,斎藤新,1400,良,,5.1,8.3,0.0,ダート,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-23,中山,新馬,新馬,1,リボルトバレット,ラニ,2,秋山稔樹,1800,良,,19.0,29.0,2460.0,ダート,中距離,,,右回り,2歳,4059.0,4182.0,4305.0,4059.0,4182.0,4305.0,4059.0,4182.0,4305.0,500.0,20295.0,20910.0,21525.0,20295.0,20910.0,21525.0,20295.0,20910.0,21525.0
2023-12-23,阪神,１勝ｸﾗｽ・牝,自己条件,6,グレイスオブゴッド,ラニ,3,西塚洸二,1800,良,,4.3,11.4,470.0,ダート,中距離,,,右回り,3歳,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,2200.0,10340.0,10340.0,10340.0,10340.0,10340.0,10340.0,10340.0,10340.0,10340.0
2023-12-17,阪神,２勝ｸﾗｽ・牝,自己条件,13,ラニカイ,ラニ,4,河原田菜,1400,稍,,2.3,3.1,0.0,ダート,短距離,ダ道悪,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-16,中京,１勝ｸﾗｽ,自己条件,13,バトゥーキ,ラニ,3,水口優也,1200,重,,1.3,1.6,140.0,ダート,短距離,ダ道悪,,左回り,3歳,131.6,131.6,131.6,132.3,132.3,132.3,133.0,133.0,133.0,7400.0,9738.4,9738.4,9738.4,9790.2,9790.2,9790.2,9842.0,9842.0,9842.0
2023-12-16,中山,１勝ｸﾗｽ,自己条件,15,カリカ,ラニ,4,吉田豊,1200,稍,,8.5,12.0,0.0,ダート,短距離,ダ道悪,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-16,阪神,新馬,新馬,2,アオレレ,ラニ,2,和田竜二,1800,稍,,2.2,4.5,380.0,ダート,中距離,ダ道悪,,右回り,2歳,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,4400.0,16720.0,16720.0,16720.0,16720.0,16720.0,16720.0,16720.0,16720.0,16720.0
2023-12-10,中山,１勝ｸﾗｽ*,自己条件,1,メイプルタピット,ラニ,2,丸田恭介,1800,良,,10.6,16.3,1240.0,ダート,中距離,,,右回り,2歳,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,900.0,11160.0,11160.0,11160.0,11160.0,11160.0,11160.0,11160.0,11160.0,11160.0
2023-12-10,阪神,竹田城Ｓ･3勝,自己条件,13,クレメダンジュ,ラニ,3,和田竜二,2000,良,,3.8,5.9,0.0,ダート,中距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-10,阪神,未勝利*,未勝利,6,ミグラテール,ラニ,2,岩田望来,1800,良,,3.0,4.8,0.0,ダート,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-09,中山,１勝ｸﾗｽ,自己条件,2,シグナルファイアー,ラニ,3,武士沢友,1800,良,,7.8,10.8,810.0,ダート,中距離,,,右回り,3歳,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,1200.0,9720.0,9720.0,9720.0,9720.0,9720.0,9720.0,9720.0,9720.0,9720.0
2023-12-09,中山,未勝利*,未勝利,3,プラムダンディ,ラニ,2,大野拓弥,1800,良,,33.5,150.0,0.0,芝,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-09,中京,１勝ｸﾗｽ,自己条件,4,フリューゲルホルン,ラニ,4,丸山元気,2000,良,,21.0,31.0,0.0,芝,中距離,,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-09,中京,１勝ｸﾗｽ,自己条件,8,ブレイクザアイス,ラニ,4,荻野極,1800,良,,5.3,8.5,0.0,ダート,中距離,,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-03,中山,１勝ｸﾗｽ・牝,自己条件,7,シグナルファイアー,ラニ,3,武士沢友,1800,良,,2.3,3.5,0.0,ダート,中距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-03,中京,１勝ｸﾗｽ,自己条件,3,ボールドライ,ラニ,3,小林勝太,1400,良,,77.4,128.1,0.0,芝,短距離,,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-02,中京,１勝ｸﾗｽ,自己条件,10,バトゥーキ,ラニ,3,水口優也,1200,良,,1.4,1.9,140.0,ダート,短距離,,,左回り,3歳,131.6,131.6,131.6,132.3,132.3,132.3,133.0,133.0,133.0,6900.0,9080.4,9080.4,9080.4,9128.7,9128.7,9128.7,9177.0,9177.0,9177.0
2023-11-26,東京,ベゴニア･1勝,自己条件,2,メイプルタピット,ラニ,2,吉田豊,1600,良,,5.8,38.3,0.0,芝,短距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-25,東京,２勝ｸﾗｽ,自己条件,16,ムーヴ,ラニ,4,三浦皇成,1400,良,,3.3,6.2,330.0,ダート,短距離,,,左回り,4歳,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,2900.0,9570.0,9570.0,9570.0,9570.0,9570.0,9570.0,9570.0,9570.0,9570.0
2023-11-19,福島,１勝ｸﾗｽ,自己条件,1,ブレイクザアイス,ラニ,4,鷲頭虎太,1700,重,,5.1,7.5,0.0,ダート,中距離,ダ道悪,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-19,福島,１勝ｸﾗｽ・牝,自己条件,7,グレイスオブゴッド,ラニ,3,西塚洸二,1700,重,,43.9,77.2,0.0,ダート,中距離,ダ道悪,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
