日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2021-12-26,阪神,未勝利*,未勝利,15,エアフォースワン,リヤンドファミユ,2,国分恭介,1800,良,1800.0,1.2,1.7,0.0,ダート,中距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-25,阪神,未勝利*,未勝利,10,アップトゥザナイン,リヤンドファミユ,2,永島まな,1200,良,1200.0,28.4,45.1,0.0,ダート,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-27,阪神,未勝利*,未勝利,7,アップトゥザナイン,リヤンドファミユ,2,永島まな,1200,良,1400.0,8.1,14.4,0.0,ダート,短距離,,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-07,阪神,新馬,新馬,11,チャーミーアイズ,リヤンドファミユ,2,亀田温心,1200,良,,16.9,27.6,0.0,ダート,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-31,阪神,未勝利*,未勝利,5,エアフォースワン,リヤンドファミユ,2,国分恭介,1800,良,1800.0,1.1,5.4,110.0,ダート,中距離,,,右回り,2歳,103.4,103.4,103.4,103.95,103.95,103.95,104.5,104.5,104.5,10100.0,10443.4,10443.4,10443.4,10498.95,10498.95,10498.95,10554.5,10554.5,10554.5
2021-10-09,阪神,未勝利*,未勝利,6,エアフォースワン,リヤンドファミユ,2,国分恭介,1800,良,1400.0,1.4,2.2,190.0,ダート,中距離,,距離延長,右回り,2歳,178.6,178.6,178.6,179.55,179.55,179.55,180.5,180.5,180.5,7900.0,14109.4,14109.4,14109.4,14184.45,14184.45,14184.45,14259.5,14259.5,14259.5
2021-10-03,中京,未勝利*,未勝利,14,アップトゥザナイン,リヤンドファミユ,2,永島まな,1400,良,1200.0,17.5,27.8,0.0,芝,短距離,,距離延長,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-20,中京,新馬,新馬,4,エアフォースワン,リヤンドファミユ,2,国分恭介,1400,稍,,4.7,8.6,730.0,ダート,短距離,ダ道悪,,左回り,2歳,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0,2400.0,17520.0,17520.0,17520.0,17520.0,17520.0,17520.0,17520.0,17520.0,17520.0
2021-09-04,札幌,未勝利,未勝利,11,クイーンファミユ,リヤンドファミユ,3,加藤祥太,2000,良,1200.0,84.9,137.6,0.0,芝,中距離,,距離延長,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-04,札幌,未勝利*,未勝利,4,アップトゥザナイン,リヤンドファミユ,2,亀田温心,1200,良,1200.0,13.8,40.1,0.0,芝,短距離,,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,函館,未勝利,未勝利,15,クイーンファミユ,リヤンドファミユ,3,加藤祥太,1200,良,,36.5,75.5,0.0,芝,短距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-31,函館,未勝利*,未勝利,9,アップトゥザナイン,リヤンドファミユ,2,池添謙一,1200,良,1600.0,4.4,11.9,0.0,芝,短距離,,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-26,東京,未勝利,未勝利,12,キングスハンド,リヤンドファミユ,3,江田照男,1400,良,1400.0,4.0,7.7,0.0,ダート,短距離,,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-20,阪神,未勝利,未勝利,7,マシマシナッチャン,リヤンドファミユ,3,鮫島良太,1400,稍,,38.9,82.6,0.0,芝,短距離,芝道悪,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-12,中京,新馬,新馬,9,アップトゥザナイン,リヤンドファミユ,2,池添謙一,1600,良,,8.1,16.9,0.0,芝,短距離,,,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-05,東京,未勝利,未勝利,6,キングスハンド,リヤンドファミユ,3,江田照男,1400,重,1400.0,2.7,4.0,0.0,ダート,短距離,ダ道悪,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-15,新潟,未勝利,未勝利,1,ベストインクラス,リヤンドファミユ,3,宮崎北斗,1200,良,1200.0,1.6,2.4,0.0,ダート,短距離,,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
