日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2023-11-18,東京,晩秋ＳＨ･3勝,自己条件,15,ロジティナ,ロジユニヴァース,8,野中悠太,2100,重,,46.0,85.9,0.0,ダート,中距離,ダ道悪,,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-18,東京,２勝ｸﾗｽ,自己条件,3,ロジヴィクトリア,ロジユニヴァース,4,野中悠太,1400,重,,3.9,6.1,0.0,ダート,短距離,ダ道悪,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-12,東京,ユートピ･3勝,自己条件,11,ロジレット,ロジユニヴァース,4,野中悠太,1800,良,,6.4,32.8,0.0,芝,中距離,,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-28,東京,１勝ｸﾗｽ,自己条件,9,ロジホーム,ロジユニヴァース,3,西村太一,1400,良,,7.0,10.8,0.0,ダート,短距離,,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-21,東京,２勝ｸﾗｽ,自己条件,10,ロジヴィクトリア,ロジユニヴァース,4,野中悠太,1400,良,,1.2,1.7,0.0,ダート,短距離,,,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-15,東京,鷹巣山Ｈ･2勝,自己条件,12,ピースディオン,ロジユニヴァース,6,木幡巧也,1600,重,,45.4,69.6,0.0,芝,短距離,芝道悪,,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-14,東京,１勝ｸﾗｽ,自己条件,3,ロジホーム,ロジユニヴァース,3,西村太一,1600,良,,5.1,26.9,0.0,ダート,短距離,,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-01,中山,茨城新聞･2勝,自己条件,1,ピースディオン,ロジユニヴァース,6,永野猛蔵,2000,良,,29.2,52.7,0.0,芝,中距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-30,中山,２勝ｸﾗｽ,自己条件,4,ロジヴィクトリア,ロジユニヴァース,4,野中悠太,1200,良,,2.5,3.8,290.0,ダート,短距離,,,右回り,4歳,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,2600.0,7540.0,7540.0,7540.0,7540.0,7540.0,7540.0,7540.0,7540.0,7540.0
2023-09-10,中山,白井特別･2勝,自己条件,4,ロジレット,ロジユニヴァース,4,永野猛蔵,1800,良,,3.0,8.6,340.0,芝,中距離,,,右回り,4歳,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,2200.0,7480.0,7480.0,7480.0,7480.0,7480.0,7480.0,7480.0,7480.0,7480.0
2023-08-13,新潟,未勝利,未勝利,7,ロジブライアン,ロジユニヴァース,3,永野猛蔵,1200,良,,2.4,3.7,0.0,ダート,短距離,,,左回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-23,福島,未勝利,未勝利,13,ロジメリオール,ロジユニヴァース,3,野中悠太,1700,良,,58.1,97.8,0.0,ダート,中距離,,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01,福島,鶴ヶ城Ｓ･3勝,自己条件,2,ロジティナ,ロジユニヴァース,8,野中悠太,1700,重,,40.1,66.2,0.0,ダート,中距離,ダ道悪,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01,福島,松島特別･2勝,自己条件,8,ロジレット,ロジユニヴァース,4,永野猛蔵,1800,稍,,2.9,4.7,0.0,芝,中距離,芝道悪,,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-25,東京,八ヶ岳特･2勝,自己条件,2,ピースディオン,ロジユニヴァース,6,永野猛蔵,1800,良,,4.4,8.2,0.0,芝,中距離,,,左回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-18,東京,１勝ｸﾗｽ,自己条件,3,ロジヴィクトリア,ロジユニヴァース,4,野中悠太,1400,良,,4.9,8.5,740.0,ダート,短距離,,,左回り,4歳,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,1300.0,9620.0,9620.0,9620.0,9620.0,9620.0,9620.0,9620.0,9620.0,9620.0
2023-06-11,東京,未勝利,未勝利,12,ロジホーム,ロジユニヴァース,3,西村太一,1600,重,,2.7,3.9,350.0,ダート,短距離,ダ道悪,,左回り,3歳,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,2400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0
