日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2022-12-11,中山,障害未勝利,未勝利,8,ワンダーサーイター,ワンダーアキュート,5,草野太郎,2880,良,2880.0,6.8,12.7,0.0,障害,長距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-20,阪神,姫路Ｓ･3勝,自己条件,5,ワンダーイチョウ,ワンダーアキュート,4,高倉稜,1400,稍,1600.0,7.6,14.2,0.0,ダート,短距離,ダ道悪,距離短縮,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-06,東京,錦秋Ｓ･3勝,自己条件,14,ワンダーイチョウ,ワンダーアキュート,4,木幡巧也,1600,良,1400.0,10.6,24.0,0.0,ダート,短距離,,距離延長,左回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-23,阪神,天王寺Ｈ･3勝,自己条件,7,ワンダーイチョウ,ワンダーアキュート,4,松山弘平,1400,良,1700.0,1.9,3.3,0.0,ダート,短距離,,距離短縮,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,中山,障害未勝利,未勝利,10,ワンダーサーイター,ワンダーアキュート,5,草野太郎,2880,良,2880.0,20.5,35.3,0.0,障害,長距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-10,中山,障害未勝利,未勝利,6,ワンダーサーイター,ワンダーアキュート,5,西村太一,2880,良,2860.0,19.6,33.5,0.0,障害,長距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-04,小倉,未勝利,未勝利,10,ワンダージュノ,ワンダーアキュート,3,坂井瑠星,1700,稍,1800.0,9.2,15.5,0.0,ダート,中距離,ダ道悪,距離短縮,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-27,新潟,未勝利,未勝利,13,ワンダージュノ,ワンダーアキュート,3,田中勝春,1800,稍,1800.0,5.6,8.8,630.0,ダート,中距離,ダ道悪,,左回り,3歳,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,1900.0,11970.0,11970.0,11970.0,11970.0,11970.0,11970.0,11970.0,11970.0,11970.0
2022-08-21,小倉,薩摩ＳＨ･3勝,自己条件,16,ワンダーイチョウ,ワンダーアキュート,4,長岡禎仁,1700,重,1400.0,3.9,6.7,0.0,ダート,中距離,ダ道悪,距離延長,右回り,4歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-21,小倉,１勝ｸﾗｽ・牝,自己条件,11,アキュートガール,ワンダーアキュート,3,団野大成,1700,重,1700.0,13.8,20.4,0.0,ダート,中距離,ダ道悪,,右回り,3歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
