日付,場所,レース名,クラス名,馬番,馬名,種牡馬,年齢,騎手,距離,馬場状態,前距離,複勝オッズ下限,複勝オッズ上限,複勝配当,コース区分,距離区分,道悪判定,距離変遷,回り,馬齢,補正配当_0.94-1.65,補正配当_0.94-1.7,補正配当_0.94-1.75,補正配当_0.945-1.65,補正配当_0.945-1.7,補正配当_0.945-1.75,補正配当_0.95-1.65,補正配当_0.95-1.7,補正配当_0.95-1.75,賭け金,補正払戻_0.94-1.65,補正払戻_0.94-1.7,補正払戻_0.94-1.75,補正払戻_0.945-1.65,補正払戻_0.945-1.7,補正払戻_0.945-1.75,補正払戻_0.95-1.65,補正払戻_0.95-1.7,補正払戻_0.95-1.75
2025-12-27,中山,ベストウ･2勝,自己条件,10,トーセントラム,ヴァンキッシュラン,5,原田和真,1200,良,1200.0,3.3,5.9,0.0,芝,短距離,,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-27,中山,未勝利*,未勝利,2,リバテイー,ヴァンキッシュラン,2,今村聖奈,1200,稍,1200.0,6.3,13.0,0.0,ダート,短距離,ダ道悪,,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-06,中山,２勝ｸﾗｽ,自己条件,6,トーセントラム,ヴァンキッシュラン,5,原田和真,1200,良,1600.0,22.3,36.4,0.0,芝,短距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-06,中山,未勝利*,未勝利,11,リバテイー,ヴァンキッシュラン,2,小林美駒,1200,良,1400.0,2.7,7.5,0.0,ダート,短距離,,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-15,東京,未勝利・牝*,未勝利,2,リバテイー,ヴァンキッシュラン,2,横山武史,1400,良,1200.0,1.4,7.6,0.0,ダート,短距離,,距離延長,左回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-27,阪神,２勝ｸﾗｽ,自己条件,2,トーセントラム,ヴァンキッシュラン,5,秋山稔樹,1600,良,1200.0,18.1,36.0,0.0,芝,短距離,,距離延長,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-21,中山,未勝利*,未勝利,13,リバテイー,ヴァンキッシュラン,2,横山武史,1200,稍,1500.0,2.0,2.8,0.0,ダート,短距離,ダ道悪,距離短縮,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-31,札幌,ＨＢＣＨ･2勝,自己条件,4,トーセントラム,ヴァンキッシュラン,5,原田和真,1200,稍,1200.0,18.4,25.6,0.0,芝,短距離,芝道悪,,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-30,札幌,未勝利・牝*,未勝利,1,リバテイー,ヴァンキッシュラン,2,横山武史,1500,稍,1200.0,2.5,5.3,0.0,芝,短距離,芝道悪,距離延長,右回り,2歳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-23,札幌,WASJ第１･2勝,自己条件,13,トーセントラム,ヴァンキッシュラン,5,トーレス,1200,良,1400.0,10.2,16.4,0.0,芝,短距離,,距離短縮,右回り,5歳以上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
