場所,R,馬番,馬名,総合利益度,M4,M5,M6,M7
中山,1,1,アンジュブルー,-0.629,,,,
中山,1,2,ハングローズ,13.379,◎,13,,
中山,1,3,ブーケドリス,0.59,△,00,,
中山,1,4,セントリアン,2.024,▲,02,,
中山,1,5,シュガームーン,-12.315,,,,
中山,1,6,ルプルミエラムール,-1.607,,,,
中山,1,7,ワルキューレクイン,-6.878,,,,
中山,1,8,グランキンバリー,-10.342,,,,
中山,1,9,ハミングディスト,-0.579,,,,
中山,1,10,ディーズメンフィス,,,,,
中山,1,11,クインズヒマワリ,6.985,○,06,,
中山,1,12,ペイトー,-15.468,,,,
中山,1,13,セイウンサクラサケ,,,,,
中山,1,14,タヤスロレンヌ,-22.765,,,,
中山,1,15,カプリースカラー,-3.216,,,,
中山,1,16,ジャメビュ,-25.346,,,,
中山,2,1,フォーエバーラブ,4.911,○,04,,
中山,2,2,オーシャンドリーム,-11.018,,,,
中山,2,3,オダイ,0.941,×,00,,
中山,2,4,ファーストシーン,1.674,△,01,,
中山,2,5,アマビエ,-38.21,,,,
中山,2,6,アーティキュレート,-13.242,,,,
中山,2,7,ブレイシオン,,,,,
中山,2,8,スターゲイザー,1.66,★,01,,
中山,2,9,パラダイスフェイス,-2.39,,,,
中山,2,10,ヴァルク,-9.909,,,,
中山,2,11,サウジバラード,3.722,▲,03,,
中山,2,12,ジェイエルグリーン,7.609,◎,07,,
中山,2,13,ドゥーニ,-3.799,,,,
中山,2,14,マンモスホームラン,1.6,×,01,,
中山,2,15,スカイレックス,-5.533,,,,
中山,3,1,ツクバアヴァロン,,,,,
中山,3,2,キチロクゴール,-3.257,,,,
中山,3,3,キタノローズ,14.101,◎,14,,
中山,3,4,メイショウオタモイ,-4.431,,,,
中山,3,5,トモロウィンアスク,11.593,▲,11,,
中山,3,6,リゾートライン,8.229,×,08,,
中山,3,7,ドリームガッサン,,,,,
中山,3,8,デスサイズ,7.633,×,07,,
中山,3,9,トーセンシーギリヤ,,,,,
中山,3,10,コンヴァーンクル,9.24,★,09,,
中山,3,11,ノーブルアスール,12.566,○,12,,
中山,3,12,フレキシブル,-3.187,,,,
中山,3,13,ヴィスクレス,-11.001,,,,
中山,3,14,ミルトハーバー,9.666,△,09,,
中山,3,15,マダックス,-7.665,,,,
中山,3,16,ユキノサイエンス,3.542,×,03,,
中山,4,1,パンパネイラ,4.932,▲,04,,
中山,4,2,クリュメノス,-3.843,,,,
中山,4,3,ゴールドプレイヤー,2.533,△,02,,
中山,4,4,ロードキャリバー,-3.293,,,,
中山,4,5,リケアマカロニ,10.708,◎,10,,
中山,4,6,トクシーゼファー,6.037,○,06,,
中山,4,7,ソルトバーン,-31.202,,,,
中山,4,8,スケダチムヨウ,,,,,
中山,4,9,インディヴァイン,1.734,★,01,,
中山,4,10,タニセンローマ,-10.314,,,,
中山,4,11,トゥントゥントゥン,-0.098,,,,
中山,4,12,カンフーヒーロー,-16.075,,,,
中山,5,1,アルタティール,0.09,×,00,,
中山,5,2,セットエトワール,5.181,×,05,,
中山,5,3,ギルドホール,6.121,×,06,,
中山,5,4,コスモアンタレス,4.476,×,04,,
中山,5,5,カキュウ,2.078,×,02,,
中山,5,6,イノセントホープ,-6.131,,,,
中山,5,7,レッドリファインド,7.436,★,07,,
中山,5,8,ピエスユニーク,-23.832,,,,
中山,5,9,フォンドルレール,32.468,◎,17,15,
中山,5,10,ゼータレティクル,0.565,×,00,,
中山,5,11,ホウオウライラック,8.088,▲,08,,
中山,5,12,セツナサ,-8.353,,,,
中山,5,13,ピコパープル,7.537,△,07,,
中山,5,14,マイネルエトルタ,-19.534,,,,
中山,5,15,ホープフルワールド,,,,,
中山,5,16,イニスフェイル,14.95,○,14,,
中山,5,17,ミナヅキ,,,,,
中山,5,18,マイネルシュラハト,7.173,×,07,,
中山,6,1,アイドクレース,-7.251,,,,
中山,6,2,ユメシルベ,-4.455,,,,
中山,6,3,フォルナックス,3.114,▲,03,,
中山,6,4,エコールナヴァール,-6.415,,,,
中山,6,5,ドナルンバ,1.13,△,01,,
中山,6,6,レオアジャイル,-0.538,,,,
中山,6,7,スミレノハナ,-17.752,,,,
中山,6,8,フロレセール,13.61,◎,13,,
中山,6,9,スタニングレディ,4.308,○,04,,
中山,7,1,ウインイメル,17.942,◎,17,,
中山,7,2,ロードソルスティス,-11.3,,,,
中山,7,3,ブリスフル,-1.511,,,,
中山,7,4,カフェロワドール,-2.699,,,,
中山,7,5,ロジリッキー,-12.93,,,,
中山,7,6,ジェシーテソーロ,-3.901,,,,
中山,7,7,ウヌボレヤサン,3.491,★,03,,
中山,7,8,ソリッドベーシス,-9.147,,,,
中山,7,9,グランプリショット,-0.669,,,,
中山,7,10,ソクヅモドラドラ,17.577,○,17,,
中山,7,11,ブルーゴールド,,,,,
中山,7,12,ペロ,-0.736,,,,
中山,7,13,マリンバンカー,4.456,△,04,,
中山,7,14,ウインドワンピース,,,,,
中山,7,15,グロスビーク,4.624,▲,04,,
中山,7,16,リボルトバレット,-23.424,,,,
中山,8,1,ウィンターベル,-2.313,,,,
中山,8,2,ヴェナートル,8.719,○,08,,
中山,8,3,ビッグショータイム,-12.106,,,,
中山,8,4,レーヴブリリアント,-13.61,,,,
中山,8,5,コスモオピニオン,5.616,△,05,,
中山,8,6,シルバーレイン,-21.124,,,,
中山,8,7,パワースナッチ,-11.989,,,,
中山,8,8,ブルーベリーフィズ,6.251,▲,06,,
中山,8,9,ジョウゲンノツキ,14.691,◎,14,,
中山,8,10,オオナミコナミ,-24.471,,,,
中山,8,11,ラーテル,4.997,★,04,,
中山,8,12,コスモアンソロジー,-4.178,,,,
中山,8,13,ルージュナリッシュ,1.588,×,01,,
中山,9,1,グランアルト,,,,,
中山,9,2,コスモエルヴァル,2.166,▲,02,,
中山,9,3,ブレットパス,-2.951,,,,
中山,9,4,ノーブルサヴェージ,0.955,△,00,,
中山,9,5,マイネルマスター,9.866,◎,09,,
中山,9,6,ジーティーブラック,-2.093,,,,
中山,9,7,イベントホライゾン,-14.048,,,,
中山,9,8,コウギョク,9.343,○,09,,
中山,10,1,ニシノコニャック,-2.492,,,,
中山,10,2,ドンレパルス,12.281,○,12,,
中山,10,3,ルージュアズライト,0.878,×,00,,
中山,10,4,コブラ,11.815,▲,11,,
中山,10,5,ディニトーソ,1.819,★,01,,
中山,10,6,ワンダラー,-2.893,,,,
中山,10,7,ショウナンラスボス,-20.309,,,,
中山,10,8,スプランドゥール,-12.022,,,,
中山,10,9,ゲキザル,6.566,△,06,,
中山,10,10,ジェネラーレ,,,,,
中山,10,11,アイファースキャン,,,,,
中山,10,12,ピックアップライン,-1.396,,,,
中山,10,13,エコロエイト,,,,,
中山,10,14,アンズアメ,22.05,◎,17,05,
中山,10,15,サザンエルフ,-1.45,,,,
中山,10,16,ブレーザー,,,,,
中山,11,1,ファンダム,0.313,×,00,,
中山,11,2,レイピア,-2.338,,,,
中山,11,3,ペアポルックス,-8.243,,,,
中山,11,4,ウイングレイテスト,12.401,◎,12,,
中山,11,5,ルガル,-8.432,,,,
中山,11,6,カリボール,-3.575,,,,
中山,11,7,フリームファクシ,-2.077,,,,
中山,11,8,フィオライア,3.074,△,03,,
中山,11,9,インビンシブルパパ,,,,,
中山,11,10,ピューロマジック,10.08,○,10,,
中山,11,11,ルージュラナキラ,-10.662,,,,
中山,11,12,オタルエバー,4.977,▲,04,,
中山,11,13,ビッグシーザー,2.769,★,02,,
中山,11,14,ママコチャ,,,,,
中山,11,15,フリッカージャブ,-9.28,,,,
中山,11,16,ヨシノイースター,-4.288,,,,
中山,12,1,プチブール,-1.254,,,,
中山,12,2,サイモンルモンド,,,,,
中山,12,3,デルマタモン,,,,,
中山,12,4,トルショー,16.84,○,16,,
中山,12,5,フジレイメイ,12.183,▲,12,,
中山,12,6,シグムンド,,,,,
中山,12,7,アールプロスト,-5.845,,,,
中山,12,8,アースイオス,-5.994,,,,
中山,12,9,ルーラーリッチ,-31.203,,,,
中山,12,10,メリークリスマス,31.142,◎,17,14,
中山,12,11,パイシャオピン,-10.92,,,,
中山,12,12,ユウトザユウト,,,,,
中山,12,13,ホレーショ,-11.98,,,,
中山,12,14,ディーズゴールド,3.299,★,03,,
中山,12,15,クロドラバール,-1.496,,,,
中山,12,16,ライジンマル,7.003,△,07,,
阪神,1,1,エナスティール,4.255,×,04,,
阪神,1,2,ベルフィーノ,1.428,×,01,,
阪神,1,3,ショウナンタマユラ,9.949,△,09,,
阪神,1,4,キタノサリスカ,,,,,
阪神,1,5,ジャンヌドゥレーヴ,-2.257,,,,
阪神,1,6,マスティカーレ,1.607,×,01,,
阪神,1,7,ジュディーイメル,5.978,★,05,,
阪神,1,8,アイビーミャーオ,15.019,▲,15,,
阪神,1,9,セヴェンヌ,-10.169,,,,
阪神,1,10,キタノレクレドール,28.634,◎,17,11,
